p@1,p@3,p@5,dcg@1,dcg@3,dcg@5,ndcg@1,ndcg@3,ndcg@5,err@1,err@3,err@5
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.8,31.0,55.964,81.307,1.0,0.847,0.954,1.0,1.0,1.0
2.0,2.0,2.0,3.0,6.393,8.845,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,3.8,31.0,54.059,59.782,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.2,31.0,50.917,65.924,1.0,0.771,0.918,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.8,31.0,55.964,81.307,1.0,0.847,0.954,1.0,1.0,1.0
5.0,4.667,4.8,31.0,58.059,83.402,1.0,0.879,0.979,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.0,31.0,54.059,63.227,1.0,0.931,0.991,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
2.0,3.333,3.2,3.0,26.059,39.797,0.097,0.482,0.714,1.0,0.461,0.461
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.4,31.0,47.964,66.417,1.0,0.826,0.944,1.0,1.0,1.0
5.0,4.667,4.4,31.0,58.059,70.322,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.2,31.0,47.964,60.227,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.6,31.0,58.059,76.511,1.0,0.879,0.977,1.0,1.0,1.0
4.0,4.333,4.6,15.0,42.059,67.402,0.484,0.637,0.861,1.0,0.492,0.492
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
