p@1,p@3,p@5,dcg@1,dcg@3,dcg@5,ndcg@1,ndcg@3,ndcg@5,err@1,err@3,err@5
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,3.0,6.393,8.845,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.4,31.0,54.059,73.213,1.0,0.818,0.973,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,3.8,31.0,54.059,59.782,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,3.8,31.0,54.059,59.782,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.6,31.0,66.059,78.322,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.8,31.0,58.059,83.402,1.0,0.879,0.979,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.8,31.0,55.964,81.307,1.0,0.847,0.954,1.0,1.0,1.0
5.0,4.333,4.6,31.0,54.059,79.402,1.0,0.818,0.967,1.0,1.0,1.0
2.0,4.0,4.4,3.0,38.059,63.402,0.097,0.576,0.787,1.0,0.461,0.461
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.8,31.0,58.059,83.402,1.0,0.879,0.979,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,4.8,31.0,66.059,85.213,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.333,4.6,31.0,50.917,76.26,1.0,0.771,0.929,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,4.667,4.4,31.0,58.059,70.322,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
4.0,4.667,4.6,15.0,50.059,69.213,0.484,0.758,0.884,1.0,0.492,0.492
5.0,5.0,5.0,31.0,66.059,91.402,1.0,1.0,1.0,1.0,1.0,1.0
